Group,Sample,SDR_Mix (dB),SDR_Sep (dB),SDR_Improv (dB),STOI,PESQ (WB)
spk_4,sample_0,-6.74,-5.04,1.7,0.6086,1.09
spk_4,sample_1,-15.81,-5.75,10.06,0.4661,1.07
spk_4,sample_2,-8.91,-3.06,5.85,0.5789,1.11
spk_4,sample_3,-16.93,-10.67,6.26,0.5938,1.07
spk_4,sample_4,-1.31,-0.15,1.16,0.7797,1.23
spk_4,sample_5,-13.2,-4.19,9.01,0.6306,1.05
spk_4,sample_6,-20.69,-14.3,6.39,0.2599,1.04
spk_4,sample_7,-17.12,-9.87,7.25,0.6885,1.05
spk_4,sample_8,-3.73,0.06,3.79,0.8316,1.18
spk_4,sample_9,-10.29,-7.65,2.64,0.6083,1.09
spk_4,sample_10,-9.81,-5.53,4.27,0.5737,1.13
spk_4,sample_11,-9.47,-6.85,2.62,0.4942,1.05
spk_4,sample_12,-10.99,-5.28,5.71,0.5766,1.17
spk_4,sample_13,-12.7,-7.41,5.29,0.6942,1.07
spk_4,sample_14,-10.2,-7.03,3.16,0.6021,1.1
spk_4,sample_15,-9.82,-7.35,2.46,0.5913,1.05
spk_4,sample_16,-10.54,-6.2,4.33,0.5387,1.05
spk_4,sample_17,-6.41,-1.76,4.65,0.7437,1.11
spk_4,sample_18,-9.47,-8.33,1.14,0.6184,1.06
spk_4,sample_19,-14.28,-8.08,6.21,0.6916,1.09
spk_4,sample_20,-7.28,-6.22,1.06,0.6184,1.06
spk_4,sample_21,-7.76,-0.65,7.11,0.5967,1.15
spk_4,sample_22,-14.76,-12.96,1.8,0.4011,1.04
spk_4,sample_23,-10.26,-4.6,5.65,0.6137,1.18
spk_4,sample_24,-12.59,-9.21,3.38,0.7232,1.09
spk_4,sample_25,-7.81,-5.74,2.07,0.6415,1.07
spk_4,sample_26,-7.7,-3.4,4.3,0.693,1.11
spk_4,sample_27,-14.26,-7.72,6.54,0.5882,1.05
spk_4,sample_28,-7.16,-5.98,1.18,0.6444,1.11
spk_4,sample_29,-7.17,-3.44,3.74,0.6291,1.09
spk_4,sample_30,-8.72,-3.71,5.0,0.7768,1.26
spk_4,sample_31,-9.49,-3.6,5.89,0.6162,1.1
spk_4,sample_32,-17.06,-13.92,3.14,0.4752,1.04
spk_4,sample_33,-8.47,-4.46,4.01,0.5326,1.11
spk_4,sample_34,-16.34,-11.43,4.91,0.6563,1.07
spk_4,sample_35,-8.27,-5.98,2.29,0.6782,1.09
spk_4,sample_36,-13.1,-6.49,6.61,0.5824,1.06
spk_4,sample_37,-9.74,-5.33,4.41,0.6674,1.09
spk_4,sample_38,-7.38,-3.92,3.47,0.7385,1.23
